Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),EMA_20,EMA_50,SMA_20,STD_20,Upper_Band,Lower_Band,RSI,OBV,VWAP
2013-01-01,5937.65,5963.9,5935.2,5950.85,77902745.0,3298.74,5950.85,5950.85,,,,,,0.0,423.4433587673964
2013-01-02,5982.6,6006.05,5982.0,5993.25,116057389.0,4992.9,5954.888095238096,5952.51274509804,,,,,,116057389.0,430.2095750232672
2013-01-03,6015.8,6017.0,5986.55,6009.5,99989933.0,4883.13,5960.089229024944,5954.747539407921,,,,,,216047322.0,488.3621634189914
2013-01-04,6011.95,6020.75,5981.55,6016.15,113232990.0,5191.38,5965.428350070188,5957.155479038983,,,,,,329280312.0,458.4688614157411
2013-01-07,6042.15,6042.15,5977.15,5988.4,110248018.0,5093.62,5967.616126253979,5958.380754370787,,,,,,219032294.0,462.0146549936163
2013-01-08,5983.45,6007.05,5964.4,6001.7,109937502.0,5247.74,5970.862209467886,5960.079548317031,,,,,,328969796.0,477.3384790933307
2013-01-09,6006.2,6020.1,5958.45,5971.5,129635568.0,6462.35,5970.922951423326,5960.527409167344,,,,,,199334228.0,498.5013063698691
2013-01-10,5998.8,6005.15,5947.3,5968.65,129767384.0,6191.88,5970.706479859199,5960.8459421411735,,,,,,69566844.0,477.1522557625112
2013-01-11,6012.4,6018.85,5940.6,5951.3,128022002.0,8228.71,5968.8582436821325,5960.4715914689705,,,,,,-58455158.0,642.7574847642203
2013-01-14,5967.2,6036.9,5962.15,6024.05,134711348.0,7279.83,5974.1146014266915,5962.9648623917565,,,,,,76256190.0,540.4021344957516
2013-01-15,6037.85,6068.5,6018.6,6056.6,138364003.0,6978.26,5981.970353671769,5966.636828572472,,,,,,214620193.0,504.34071353081623
2013-01-16,6049.0,6055.95,5992.05,6001.85,128985952.0,6172.67,5983.863653322077,5968.017737255905,,,,,,85634241.0,478.5536645106903
2013-01-17,6001.25,6053.2,5988.1,6039.2,178954867.0,7569.17,5989.133781577118,5970.809198539987,,,,,,264589108.0,422.96530554824193
2013-01-18,6059.85,6083.4,6048.3,6064.4,186460701.0,8321.15,5996.301992855488,5974.479426048223,,,,,64.96638987742188,451049809.0,446.26829972070095
2013-01-21,6085.75,6094.35,6065.1,6082.3,130866385.0,6065.99,6004.492279250203,5978.7076838502535,,,,,66.54499685336691,581916194.0,463.5254500229375
2013-01-22,6080.15,6101.3,6040.5,6048.5,129041713.0,5744.09,6008.683490750183,5981.444637424754,,,,,57.10793773317896,452874481.0,445.13435744610734
2013-01-23,6052.85,6069.8,6021.15,6054.3,136989190.0,5932.29,6013.027920202547,5984.301710466921,,,,,55.922792173453225,589863671.0,433.048038316016
2013-01-24,6046.2,6065.3,6007.85,6019.35,185210189.0,7884.14,6013.6300230403995,5985.676153193708,,,,,50.39360393603945,404653482.0,425.6860836095794
2013-01-25,6024.5,6080.55,6014.45,6074.65,147587200.0,6384.65,6019.441449417504,5989.1653236567,,,,,59.93549130284531,552240682.0,432.60187875371304
2013-01-28,6082.1,6088.4,6061.4,6074.8,113113004.0,5592.39,6024.713692330123,5992.523546258398,6019.5650000000005,41.38794987356665,6102.340899747134,5936.789100252867,58.68377286766458,665353686.0,494.4073450652942
2013-01-29,6064.7,6111.8,6042.45,6049.9,157553752.0,8261.34,6027.112388298683,5994.773603267872,6024.5175,38.562458820246285,6101.642417640493,5947.392582359507,59.4321462945139,507799934.0,524.3505721145885
2013-01-30,6065.0,6071.95,6044.15,6055.75,124222858.0,6220.8,6029.839779889285,5997.164834512269,6027.6425,38.427444534096885,6104.497389068194,5950.787610931806,60.40372670807457,632022792.0,500.7774012090432
2013-01-31,6045.65,6058.05,6025.15,6034.75,168516750.0,8753.14,6030.307419899829,5998.638762570612,6028.905,38.21420891707609,6105.333417834152,5952.4765821658475,59.881586737714585,463506042.0,519.4225499839037
2013-02-01,6040.95,6052.95,5983.2,5998.9,159271140.0,6189.27,6027.316237052227,5998.649007175686,6028.0425000000005,38.70871068499671,6105.459921369994,5950.625078630007,46.73673284027502,304234902.0,388.5995918657957
2013-02-04,6025.2,6038.5,5981.25,5987.25,141741868.0,6166.05,6023.500404952015,5998.201987286444,6027.985000000001,38.77150031714204,6105.528000634285,5950.441999365717,40.48566332830289,162493034.0,435.0196654668048
2013-02-05,5948.2,5970.35,5946.9,5956.9,136227506.0,5332.28,6017.157509242299,5996.582301510505,6025.745,41.56363510519655,6108.872270210393,5942.6177297896065,43.390677841493805,26265528.0,391.4246216913051
2013-02-06,5988.05,5990.9,5953.15,5959.2,157815926.0,5865.83,6011.637746457318,5995.116328902251,6025.129999999999,42.48921349187254,6110.108426983745,5940.151573016254,36.885245901639415,184081454.0,371.68808932502793
2013-02-07,5936.45,5978.5,5927.6,5938.8,157647191.0,5555.4,6004.700818223288,5992.907845415888,6023.6375,45.02610901933536,6113.68971803867,5933.585281961329,29.08061292471706,26434263.0,352.3944806602992
2013-02-08,5929.1,5953.7,5883.65,5903.5,192607376.0,6761.75,5995.062645059165,5989.401655399579,6021.2474999999995,50.05561242784201,6121.358724855683,5921.136275144316,21.85138539042829,-166173113.0,351.06391771829135
2013-02-11,5920.05,5924.15,5879.1,5897.85,121958667.0,5506.43,5985.804297910673,5985.811394403517,6014.9375,57.13717997526921,6129.211859950538,5900.663140049462,23.976507168768492,-288131780.0,451.49968718500344
2013-02-12,5894.35,5927.65,5886.45,5922.5,142844560.0,4844.11,5979.775317157276,5983.328594622987,6008.2325,59.79714672606806,6127.826793452136,5888.638206547864,28.624716185533558,-145287220.0,339.1175694755194
2013-02-13,5943.15,5969.5,5922.95,5932.95,142636632.0,5714.83,5975.315763142297,5981.352963461301,6004.7875,62.12366036890882,6129.034820737818,5880.540179262182,34.778012684989335,-2650588.0,400.6565438252917
2013-02-14,5933.2,5940.2,5884.55,5896.95,143830565.0,7125.55,5967.852357128745,5978.043043325564,5997.675,65.99863934004077,6129.672278680082,5865.677721319918,16.408317580340423,-146481153.0,495.4127796132901
2013-02-15,5869.95,5899.95,5853.9,5887.4,125091945.0,5187.91,5960.190227878388,5974.488414175542,5988.825,68.4037885608217,6125.632577121643,5852.017422878356,15.790434465133231,-271573098.0,414.7277428614608
2013-02-18,5888.65,5911.0,5878.45,5898.2,114284193.0,4187.19,5954.286396651875,5971.496711658854,5979.62,67.54459034008882,6114.709180680177,5844.5308193198225,20.804464973056255,-157288905.0,366.38400202904694
2013-02-19,5900.2,5947.55,5883.15,5939.7,100984778.0,3743.8,5952.897216018363,5970.249781789879,5974.18,66.07031421941716,6106.320628438834,5842.039371561166,30.360467084108933,-56304127.0,370.7291409800396
2013-02-20,5966.3,5971.0,5937.55,5943.05,135354164.0,5330.7,5951.959385921376,5969.183123680473,5968.6175,63.60713149978905,6095.831762999578,5841.403237000422,33.495320374370095,79050037.0,393.8334693567314
2013-02-21,5909.65,5921.15,5844.4,5852.25,159401234.0,6407.29,5942.463253928864,5964.5975109871215,5960.2625,67.45094294335125,6095.164385886702,5825.360614113298,27.963936889556777,-80351197.0,401.9598744135193
2013-02-22,5837.95,5873.8,5835.8,5850.3,157046865.0,5487.58,5933.685801173734,5960.115255654294,5949.045,66.06757684769555,6081.180153695391,5816.909846304609,28.80359077542181,-237398062.0,349.42308463145696
2013-02-25,5870.55,5878.4,5825.0,5854.75,125128736.0,4851.54,5926.168105823855,5955.983284844322,5938.0425,62.234571698321396,6062.511643396642,5813.573356603357,32.81171125694098,-112269326.0,387.7238878206202
2013-02-26,5838.3,5838.85,5748.6,5761.35,157360222.0,5842.04,5910.47114336444,5948.35060700729,5923.615,68.10780174028923,6059.830603480578,5787.399396519421,24.520283322601415,-269629548.0,371.25265367253996
2013-02-27,5784.9,5818.2,5749.7,5796.9,175165933.0,6202.31,5899.654843996398,5942.411367516808,5910.6725,66.24581312489681,6043.164126249793,5778.180873750206,32.4119980168566,-94463615.0,354.0819778010146
2013-02-28,5834.35,5849.9,5671.9,5693.05,334852895.0,12964.2,5879.978192187217,5932.632490359287,5893.5875,75.91824875101402,6045.423997502027,5741.751002497972,27.70420595402048,-429316510.0,387.16105470732157
2013-03-01,5702.45,5739.45,5679.9,5719.7,174517984.0,6877.59,5864.713602455101,5924.282196619707,5879.6275,81.03168235975613,6041.690864719512,5717.564135280487,31.930216046252028,-254798526.0,394.09061704494593
2013-03-04,5704.7,5712.0,5663.6,5698.5,144887325.0,5778.72,5848.883735554615,5915.427992830699,5865.19,86.39331053538189,6037.976621070763,5692.403378929236,27.119509703779272,-399685851.0,398.84234179904973
2013-03-05,5722.45,5790.1,5722.4,5784.25,154406134.0,6321.31,5842.728141692271,5910.2837578177305,5856.5575,85.36683578132406,6027.291171562648,5685.823828437352,36.836048158640196,-245279717.0,409.39500499377834
2013-03-06,5816.4,5828.7,5795.05,5818.6,156901392.0,6244.47,5840.430223435864,5906.688316334682,5849.5275,82.19979106613066,6013.927082132262,5685.127917867739,43.043594069075766,-88378325.0,397.98690887331327
2013-03-07,5801.3,5878.0,5801.3,5863.3,134679762.0,5676.89,5842.608297394353,5904.986813733322,5845.7525000000005,79.57598069736305,6004.904461394726,5686.600538605275,47.985960220625145,46301437.0,421.5102488820852
2013-03-08,5883.65,5952.85,5883.0,5945.7,150781148.0,6214.19,5852.4265547853665,5906.583409273192,5847.8625,81.71841394466314,6011.299327889326,5684.425672110674,53.54530526944321,197082585.0,412.1330870885795
2013-03-11,5946.1,5971.2,5930.35,5942.35,125384918.0,5688.38,5860.990692424855,5907.986020674243,5850.0875,83.73209451169568,6017.551689023391,5682.623310976608,50.20973486347452,71697667.0,453.6733835882877
2013-03-12,5944.6,5952.0,5893.65,5914.1,115944389.0,5098.38,5866.048721717726,5908.225784569371,5849.6675,83.37004112136863,6016.407582242737,5682.927417757262,47.79562933069367,-44246722.0,439.72632431570275
2013-03-13,5884.8,5893.85,5842.25,5851.2,116710808.0,4950.09,5864.634557744609,5905.989479292141,5845.58,81.0435009894767,6007.6670019789535,5683.492998021046,49.916500994035765,-160957530.0,424.1329560497945
2013-03-14,5845.95,5920.15,5791.75,5908.95,149008437.0,7204.09,5868.855076054646,5906.10557814343,5846.18,81.48703868520406,6009.154077370408,5683.205922629592,54.28383609670586,-11949093.0,483.46859715064323
2013-03-15,5914.9,5945.65,5861.0,5872.6,152156666.0,6984.19,5869.211735478013,5904.791633902511,5845.4400000000005,81.15955305835112,6007.759106116703,5683.120893883298,51.24572545188083,-164105759.0,459.01308063624367
2013-03-18,5816.75,5850.2,5814.35,5835.25,102663402.0,4690.01,5865.977284480107,5902.064511004374,5842.2925000000005,80.22096830990428,6002.7344366198095,5681.8505633801915,55.595093882495455,-266769161.0,456.8336825619708
2013-03-19,5859.5,5863.6,5724.3,5745.95,182311867.0,8255.03,5854.546114529621,5895.942373317928,5832.605,79.53462486635148,5991.674249732702,5673.535750267297,46.43282223622489,-449081028.0,452.7971840692082
2013-03-20,5740.55,5745.3,5682.3,5694.4,187624850.0,7103.68,5839.294103622038,5888.038750834872,5820.1725,80.785797792679,5981.744095585358,5658.600904414641,50.10198685502754,-636705878.0,378.61082900266143
2013-03-21,5705.9,5757.75,5647.95,5658.75,179177573.0,7053.93,5822.099427086606,5879.047035115857,5810.4975,88.00619068385919,5986.509881367719,5634.485118632282,45.45725572035478,-815883451.0,393.68375639288297
2013-03-22,5659.8,5691.45,5631.8,5651.35,165293291.0,5909.38,5805.837576887881,5870.117739621118,5800.55,94.28996011743183,5989.129920234864,5611.970079765137,46.41199299901075,-981176742.0,357.508763014465
2013-03-25,5707.3,5718.4,5624.4,5633.85,150388821.0,5683.44,5789.457807660464,5860.852338067349,5789.505,100.35010935404043,5990.205218708081,5588.804781291919,37.22826086956523,-1131565563.0,377.9163878144905
2013-03-26,5613.75,5655.3,5612.05,5641.6,126500524.0,4939.19,5775.376111692801,5852.254207162747,5783.5175,105.55590346625982,5994.629306932519,5572.405693067481,34.25827107790819,-1005065039.0,390.4481850209568
2013-03-28,5647.75,5692.95,5604.85,5682.55,209658945.0,8372.35,5766.53552962682,5845.5991402151885,5777.8,107.86455322349713,5993.529106446995,5562.070893553006,33.816814396991646,-795406094.0,399.3318768250026
2013-04-01,5697.35,5720.95,5675.9,5704.4,97779717.0,3683.38,5760.617860138551,5840.06191903028,5778.3675,107.42415473130906,5993.215809462618,5563.519190537382,25.768226551516292,-697626377.0,376.701847071208
2013-04-02,5701.7,5754.6,5687.15,5748.1,106423845.0,4262.15,5759.425682982498,5836.455569264386,5779.7875,106.79368929093054,5993.374878581862,5566.200121418139,31.955411054342775,-591202532.0,400.4882552401673
2013-04-03,5740.2,5744.95,5650.1,5672.9,140713330.0,5313.95,5751.185141746069,5830.041625371666,5778.507500000001,107.9662377478276,5994.439975495656,5562.5750245043455,29.3916609706083,-731915862.0,377.6436816611475
2013-04-04,5640.65,5644.45,5565.65,5574.75,134586976.0,5000.44,5734.381794913111,5820.030189082581,5768.0325,117.15196864149682,6002.336437282994,5533.728562717007,27.72181481183013,-866502838.0,371.53966517532865
